user_id,track_slug,subscription_date
152164,spoken-english,24-06-2021
152164,Youtube_telugu,24-06-2021
152458,spoken-english,27-06-2021
152458,Anb_eng,24-06-2021
152621,spoken-english,24-06-2021
153438,kerala-psc,25-06-2021
153438,CDP_SKSSF,26-06-2021
153686,Spoken_eng_hindi,25-06-2021
153799,Spoken_eng_hindi,25-06-2021
154365,TNPSC,25-06-2021
154650,BANK-INS,25-06-2021
154650,Group_2_2A,08-07-2021
154650,TNPSC,25-06-2021
154668,kerala-psc,25-06-2021
154668,ENTRI_GOLD,25-06-2021
154857,SE_Junior,25-06-2021
154857,karnataka-psc,25-06-2021
154908,TSPSC,25-06-2021
154908,Group_1,29-06-2021
154908,APPSC,29-06-2021
154944,KPSC_Driver,25-06-2021
156344,Spoken_eng_hindi,25-06-2021
156724,Spoken_eng_hindi,25-06-2021
157324,Spoken_eng_hindi,25-06-2021
157791,Spoken_eng_hindi,25-06-2021
158909,spoken-english,26-06-2021
159497,kerala-psc,26-06-2021
159497,Eng_Inver_Coc,26-06-2021
159777,SE_Junior,26-06-2021
159948,TNPSC,26-06-2021
160003,Spoken_eng_hindi,26-06-2021
160003,GATE-Electrical,26-06-2021
160547,BANK-INS,26-06-2021
161143,spoken-english,26-06-2021
161143,SE_Junior,29-06-2021
161143,rrb,29-06-2021
161490,Spoken_eng_hindi,26-06-2021
161619,Spoken_eng_hindi,26-06-2021
161864,spoken-english,26-06-2021
162133,spoken-english,26-06-2021
163179,Spoken_eng_hindi,26-06-2021
163179,Apti_ess,26-06-2021
165380,spoken-english,27-06-2021
166466,BANK-INS,27-06-2021
166786,BANK-INS,27-06-2021
166786,Spoken_eng_hindi,27-06-2021
166909,spoken-english,27-06-2021
167432,BANK-INS,27-06-2021
167684,Spoken_eng_hindi,27-06-2021
168195,spoken-english,27-06-2021
168195,Anb_eng,27-06-2021
168337,Spoken_eng_hindi,28-06-2021
168346,TSPSC,28-06-2021
168564,Digi_Mark,28-06-2021
168857,ssc,28-06-2021
168882,Spoken_eng_hindi,28-06-2021
168940,kerala-psc,28-06-2021
168940,CDP_SKSSF,28-06-2021
168940,K_HSA,29-06-2021
169264,spoken-english,28-06-2021
169432,Spoken_eng_hindi,28-06-2021
169928,spoken-english,28-06-2021
171072,PCB_Tech,28-06-2021
171072,kerala-psc,28-06-2021
171460,Spoken_eng_hindi,28-06-2021
171625,rrb,28-06-2021
171663,Spoken_eng_hindi,28-06-2021
171698,Spoken_eng_hindi,28-06-2021
171726,Spoken_eng_hindi,28-06-2021
171826,Stock_mar,30-07-2021
171826,Spoken_eng_hindi,28-06-2021
172862,Spoken_eng_hindi,28-06-2021
172873,karnataka-psc,28-06-2021
173408,Spoken_eng_hindi,29-06-2021
173584,Spoken_eng_hindi,29-06-2021
173886,spoken-english,29-06-2021
173886,kerala-psc,29-06-2021
173886,Eng_Inver_Coc,29-06-2021
174164,kerala-psc,29-06-2021
174169,BANK-INS,03-07-2021
174169,kerala-psc,29-06-2021
174169,Kerala_AS,29-07-2021
174489,spoken-english,29-06-2021
174794,TSPSC,06-07-2021
174794,spoken-english,06-07-2021
174794,APPSC,29-06-2021
174794,rrb,06-07-2021
174794,Tet,06-07-2021
175103,kerala-psc,29-06-2021
175103,KPSC_Driver,30-06-2021
175103,CDP_SKSSF,29-06-2021
175229,Spoken_eng_hindi,29-06-2021
175451,PCB_Tech,12-07-2021
175451,kerala-psc,09-07-2021
175451,KPSC_Driver,29-06-2021
175451,KTET,14-07-2021
175816,kerala-psc,29-06-2021
175816,CDP_SKSSF,30-06-2021
175823,Spoken_eng_hindi,29-06-2021
176025,spoken-english,29-06-2021
176025,SE_Junior,29-06-2021
176077,Spoken_eng_hindi,29-06-2021
176077,ssc,15-07-2021
176107,kerala-psc,29-06-2021
176107,CDP_SKSSF,29-06-2021
176171,KPSC_Driver,29-06-2021
176171,CDP_SKSSF,29-06-2021
176293,Spoken_eng_hindi,29-06-2021
176576,Eng_Inver_Coc,29-06-2021
176623,kerala-psc,29-06-2021
176623,CDP_SKSSF,30-06-2021
176848,kerala-psc,01-07-2021
176848,CDP_SKSSF,30-06-2021
176926,spoken-english,30-06-2021
177351,Spoken_eng_hindi,30-06-2021
177795,Spoken_eng_hindi,30-06-2021
178088,kerala-psc,30-06-2021
178088,KPSC_Driver,30-06-2021
178176,spoken-english,30-06-2021
178208,kerala-psc,30-06-2021
178241,Spoken_eng_hindi,30-06-2021
178629,spoken-english,30-06-2021
179089,spoken-english,01-07-2021
179089,Anb_eng,01-07-2021
179987,spoken-english,19-07-2021
179987,kerala-psc,01-07-2021
179987,Digi_Mark,06-07-2021
179987,ssc,06-07-2021
180229,spoken-english,01-07-2021
